GROUP_SET,GROUP_VALUE,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,EFG_PCT,BLKA,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,EFG_PCT_RANK,BLKA_RANK,PCT_AST_2PM_RANK,PCT_UAST_2PM_RANK,PCT_AST_3PM_RANK,PCT_UAST_3PM_RANK,PCT_AST_FGM_RANK,PCT_UAST_FGM_RANK,CFID,CFPARAMS
Shot Type,Alley Oop Dunk Shot,65,72,0.903,0,0,0.0,0.903,0,1.0,0.0,0.0,0.0,1.0,0.0,15,20,10,11,13,11,11,1,1,40,11,8,1,40,174,Alley Oop Dunk Shot
Shot Type,Alley Oop Layup shot,25,40,0.625,0,0,0.0,0.625,0,1.0,0.0,0.0,0.0,1.0,0.0,26,26,29,11,13,11,31,1,1,40,11,8,1,40,174,Alley Oop Layup shot
Shot Type,Cutting Dunk Shot,128,132,0.97,0,0,0.0,0.97,2,1.0,0.0,0.0,0.0,1.0,0.0,6,9,5,11,13,11,5,33,1,40,11,8,1,40,174,Cutting Dunk Shot
Shot Type,Cutting Finger Roll Layup Shot,31,33,0.939,0,0,0.0,0.939,0,1.0,0.0,0.0,0.0,1.0,0.0,23,28,8,11,13,11,8,1,1,40,11,8,1,40,174,Cutting Finger Roll Layup Shot
Shot Type,Cutting Layup Shot,199,234,0.85,0,0,0.0,0.85,7,1.0,0.0,0.0,0.0,1.0,0.0,3,5,14,11,13,11,16,44,1,40,11,8,1,40,174,Cutting Layup Shot
Shot Type,Driving Bank Hook Shot,1,2,0.5,0,0,0.0,0.5,0,0.0,1.0,0.0,0.0,0.0,1.0,46,45,41,11,13,11,41,1,40,1,11,8,41,1,174,Driving Bank Hook Shot
Shot Type,Driving Bank shot,24,31,0.774,0,0,0.0,0.774,0,0.333,0.667,0.0,0.0,0.333,0.667,27,29,18,11,13,11,20,1,37,10,11,8,38,9,174,Driving Bank shot
Shot Type,Driving Dunk Shot,76,83,0.916,0,0,0.0,0.916,3,0.724,0.276,0.0,0.0,0.724,0.276,12,19,9,11,13,11,10,36,17,31,11,8,18,30,174,Driving Dunk Shot
Shot Type,Driving Finger Roll Layup Shot,74,96,0.771,0,0,0.0,0.771,3,0.392,0.608,0.0,0.0,0.392,0.608,13,16,19,11,13,11,21,36,34,14,11,8,35,13,174,Driving Finger Roll Layup Shot
Shot Type,Driving Floating Bank Jump Shot,15,22,0.682,0,1,0.0,0.682,0,0.533,0.467,0.0,0.0,0.533,0.467,33,35,25,11,9,11,27,1,26,22,11,8,26,22,174,Driving Floating Bank Jump Shot
Shot Type,Driving Floating Jump Shot,43,85,0.506,0,0,0.0,0.506,7,0.605,0.395,0.0,0.0,0.605,0.395,20,18,39,11,13,11,40,44,22,26,11,8,23,25,174,Driving Floating Jump Shot
Shot Type,Driving Hook Shot,12,23,0.522,0,0,0.0,0.522,1,0.5,0.5,0.0,0.0,0.5,0.5,35,33,37,11,13,11,38,24,27,20,11,8,28,19,174,Driving Hook Shot
Shot Type,Driving Jump shot,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,48,48,48,11,13,11,48,1,40,40,11,8,41,40,174,Driving Jump shot
Shot Type,Driving Layup Shot,163,257,0.634,0,0,0.0,0.634,27,0.387,0.613,0.0,0.0,0.387,0.613,5,4,28,11,13,11,30,47,36,12,11,8,37,11,174,Driving Layup Shot
Shot Type,Driving Reverse Dunk Shot,5,6,0.833,0,0,0.0,0.833,0,0.8,0.2,0.0,0.0,0.8,0.2,41,41,15,11,13,11,17,1,12,36,11,8,13,35,174,Driving Reverse Dunk Shot
Shot Type,Driving Reverse Layup Shot,41,57,0.719,0,0,0.0,0.719,2,0.439,0.561,0.0,0.0,0.439,0.561,22,22,22,11,13,11,24,33,32,16,11,8,34,14,174,Driving Reverse Layup Shot
Shot Type,Dunk Shot,91,101,0.901,0,0,0.0,0.901,5,0.934,0.066,0.0,0.0,0.934,0.066,9,15,11,11,13,11,12,41,9,39,11,8,9,39,174,Dunk Shot
Shot Type,Fadeaway Bank shot,2,3,0.667,0,0,0.0,0.667,0,0.0,1.0,0.0,0.0,0.0,1.0,44,44,26,11,13,11,28,1,40,1,11,8,41,1,174,Fadeaway Bank shot
Shot Type,Fadeaway Jump Shot,74,127,0.583,6,8,0.75,0.606,1,0.456,0.544,0.333,0.667,0.446,0.554,13,11,32,5,6,3,33,24,31,17,8,2,32,16,174,Fadeaway Jump Shot
Shot Type,Finger Roll Layup Shot,12,15,0.8,0,0,0.0,0.8,1,0.5,0.5,0.0,0.0,0.5,0.5,35,37,16,11,13,11,18,24,27,20,11,8,28,19,174,Finger Roll Layup Shot
Shot Type,Floating Jump shot,63,134,0.47,0,1,0.0,0.47,0,0.476,0.524,0.0,0.0,0.476,0.524,17,8,43,11,9,11,44,1,29,19,11,8,30,18,174,Floating Jump shot
Shot Type,Hook Bank Shot,4,4,1.0,0,0,0.0,1.0,0,0.75,0.25,0.0,0.0,0.75,0.25,42,43,1,11,13,11,1,1,15,32,11,8,15,31,174,Hook Bank Shot
